POLE_ID,LINE_CODE,LATITUDE,LONGITUDE,VOLTAGE,POLE_TYPE,STREET
NPC_HP_01_001,22kV_471_E2.1,20.865143,106.683542,Trung thế (22kV),Bê tông ly tâm 14m,"Lạch Tray, Hải Phòng"
NPC_HP_01_002,22kV_471_E2.1,20.865421,106.684125,Trung thế (22kV),Bê tông ly tâm 14m,"Lạch Tray, Hải Phòng"
CPC_DN_02_015,35kV_372_E4.2,16.059432,108.221453,Trung thế (35kV),Trụ thép đơn thân,"Nguyễn Văn Linh, Đà Nẵng"
SPC_DN_03_089,0.4kV_TBA_A1,10.952412,106.821456,Hạ thế (0.4kV),Bê tông chữ I 8.5m,"Nguyễn Ái Quốc, Biên Hòa"
NPC_HN_MOCK_005,22kV_473_E1.5,21.0114,105.846101,Trung thế (22kV),Bê tông ly tâm 14m,"Nguyễn Trãi, Hà Nội"
NPC_HP_MOCK_006,22kV_471_E2.1,20.851261,106.702218,Trung thế (22kV),Bê tông ly tâm 12m,"Tô Hiệu, Hải Phòng"
CPC_DN_MOCK_007,22kV_471_E4.1,16.037473,108.192071,Trung thế (22kV),Bê tông chữ I 8.5m,"Nguyễn Văn Linh, Đà Nẵng"
CPC_HUE_MOCK_008,22kV_472_E6.1,16.471477,107.598148,Trung thế (22kV),Trụ thép đơn thân,"Hùng Vương, Huế"
SPC_DN_MOCK_009,22kV_474_E3.1,10.960614,106.853839,Trung thế (22kV),Bê tông ly tâm 12m,"Nguyễn Ái Quốc, Biên Hòa"
SPC_HCM_MOCK_010,0.4kV_TBA_B2,10.771149,106.688497,Hạ thế (0.4kV),Trụ thép góc,"Điện Biên Phủ, TP.HCM"
NPC_HN_MOCK_011,22kV_473_E1.5,21.024177,105.849123,Trung thế (22kV),Trụ thép góc,"Phạm Văn Đồng, Hà Nội"
NPC_HP_MOCK_012,22kV_471_E2.1,20.85317,106.689404,Trung thế (22kV),Trụ thép đơn thân,"Lạch Tray, Hải Phòng"
CPC_DN_MOCK_013,35kV_372_E4.2,16.066259,108.206467,Trung thế (35kV),Trụ thép góc,"Nguyễn Văn Linh, Đà Nẵng"
CPC_HUE_MOCK_014,22kV_472_E6.1,16.44735,107.581104,Trung thế (22kV),Trụ thép góc,"Hùng Vương, Huế"
SPC_DN_MOCK_015,0.4kV_TBA_A1,10.970593,106.838385,Hạ thế (0.4kV),Trụ thép đơn thân,"Đồng Khởi, Biên Hòa"
SPC_HCM_MOCK_016,22kV_471_T1,10.772227,106.690442,Trung thế (22kV),Trụ thép góc,"Điện Biên Phủ, TP.HCM"
NPC_HN_MOCK_017,22kV_473_E1.5,21.029729,105.845013,Trung thế (22kV),Trụ thép đơn thân,"Phạm Văn Đồng, Hà Nội"
NPC_HP_MOCK_018,22kV_475_E2.3,20.862523,106.69314,Trung thế (22kV),Bê tông chữ I 8.5m,"Lạch Tray, Hải Phòng"
CPC_DN_MOCK_019,35kV_372_E4.2,16.066743,108.212136,Trung thế (35kV),Bê tông ly tâm 14m,"Nguyễn Văn Linh, Đà Nẵng"
CPC_HUE_MOCK_020,35kV_371_E6.2,16.460142,107.575283,Trung thế (35kV),Bê tông chữ I 8.5m,"An Dương Vương, Huế"
SPC_DN_MOCK_021,0.4kV_TBA_A1,10.962996,106.838943,Hạ thế (0.4kV),Trụ thép đơn thân,"Nguyễn Ái Quốc, Biên Hòa"
SPC_HCM_MOCK_022,0.4kV_TBA_B2,10.763927,106.70972,Hạ thế (0.4kV),Bê tông chữ I 8.5m,"Trường Chinh, TP.HCM"
NPC_HN_MOCK_023,35kV_371_E1.2,21.042822,105.850578,Trung thế (35kV),Bê tông ly tâm 14m,"Nguyễn Trãi, Hà Nội"
NPC_HP_MOCK_024,22kV_475_E2.3,20.830173,106.671796,Trung thế (22kV),Bê tông ly tâm 12m,"Lạch Tray, Hải Phòng"
CPC_DN_MOCK_025,22kV_471_E4.1,16.064915,108.199398,Trung thế (22kV),Bê tông ly tâm 12m,"Điện Biên Phủ, Đà Nẵng"
CPC_HUE_MOCK_026,35kV_371_E6.2,16.467152,107.58975,Trung thế (35kV),Trụ thép góc,"Hùng Vương, Huế"
SPC_DN_MOCK_027,0.4kV_TBA_A1,10.963942,106.844031,Hạ thế (0.4kV),Trụ thép góc,"Đồng Khởi, Biên Hòa"
